Product name,Product price,Product links
Full Size Wireless Keyboard with Trackpad,$47.24 ,https://thepihut.com/products/full-size-wireless-keyboard-with-trackpad?srsltid=AfmBOoqxsOpqek68vBXaLB8JdmsbwbLmhRR3TsQ0_TycZPBLu17UiHCh
Vention USB 3.2 Gen2 HUB 5 Ports Splitter 10Gbps USB A Type C HUB Multiport Adapter for MacBook iPad Laptop Expansion PC Desktop,       $3.99 x2,"https://www.aliexpress.com/item/1005008015931547.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.11.4701j8Mvj8Mvgu&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=a51bca9c-d55a-4a84-a71d-8445ffcff518&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3Aa51bca9c-d55a-4a84-a71d-8445ffcff518%2Ctpp_buckets%3A668%232846%238113%231998&pdp_ext_f=%7B""order""%3A""7554""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21EUR%219.21%218.37%21%21%2172.08%2165.50%21%40211b81a317778327556635638e575e%2112000043298119855%21rec%21GR%216144035917%21X%211%210%21n_tag%3A-29919%3Bd%3Ac2229ac9%3Bm03_new_user%3A-29895%3BpisId%3A5000000204360949&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005008015931547%7C_p_origin_prod%3A"
USB A to Type C Fast Charger Cable,"3,49 ","https://www.aliexpress.com/item/1005010262687837.html?spm=a2g0o.productlist.main.11.479f13ecXateVL&algo_pvid=c68b7c00-f586-4d6b-9425-de7121ef9c1f&algo_exp_id=c68b7c00-f586-4d6b-9425-de7121ef9c1f-10&pdp_ext_f=%7B""order""%3A""24""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%212.70%212.71%21%21%2120.89%2120.89%21%402103868817789454132817525e4929%2112000051709001498%21sea%21GR%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac2229ac9%3Bm03_new_user%3A-29895&curPageLogUid=HWPpqkVC7qQ9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010262687837%7C_p_origin_prod%3A"
4 Keys Mini Keyboard Direction Arrows Keypad Up Down Left Right DIY Custom Programming Shortcuts USB Mechanical Keypad White,$5.13 ,"https://www.aliexpress.com/item/1005005508965949.html?spm=a2g0o.productlist.main.1.d5817c5cNjBI9Z&algo_pvid=133f5f7e-415a-4eb2-912e-bb4ff94000e2&algo_exp_id=133f5f7e-415a-4eb2-912e-bb4ff94000e2-0&pdp_ext_f=%7B""order""%3A""420""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%2111.39%219.91%21%21%2189.12%2177.55%21%40211b615317778317339191344e6ddd%2112000040517742525%21sea%21GR%216144035917%21X%211%210%21n_tag%3A-29919%3Bd%3Ac2229ac9%3Bm03_new_user%3A-29895%3BpisId%3A5000000204360949&curPageLogUid=ALMohtrEA4zM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005508965949%7C_p_origin_prod%3A"
10.1 inch LCD Display Screen capacitive touch Monitor Driver Control Board HDMI-Compatible For Raspberry Pi PC Mini Computer,$73.01 ,"https://www.aliexpress.com/item/1005010238601417.html?spm=a2g0o.productlist.main.2.1e793afbPOiJ04&algo_pvid=a8eb9bc5-d9b0-446e-9c4a-f61c9765428d&algo_exp_id=a8eb9bc5-d9b0-446e-9c4a-f61c9765428d-1&pdp_ext_f=%7B""order""%3A""9""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%2137.22%2138.30%21%21%21291.20%21299.72%21%40211b80f717778311307875447eca0e%2112000051644022261%21sea%21GR%216144035917%21X%211%210%21n_tag%3A-29919%3Bd%3Ac2229ac9%3Bm03_new_user%3A-29895%3BpisId%3A5000000204360949&curPageLogUid=xsp1vK1pGoza&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010238601417%7C_p_origin_prod%3A"
Sandisk Ultra microSDXC 256GB U1 A1 UHS-I 150MB/s with adapter,"$46,34",https://www.skroutz.gr/s/38513098/Sandisk-Ultra-microSDXC-256GB-U1-A1-UHS-I-150MB-s-me-antaptora.html
30000mAh Large Capacity New Solar Portable Power Bank Outdoor Compass External Battery Flashlight For IPhone Samsung Xiaomi,$23.87 ,"https://www.aliexpress.com/item/1005010643992027.html?spm=a2g0o.productlist.main.3.41346681ur9fpe&algo_pvid=ea67cea8-9845-4236-843e-33b20a6f9e56&algo_exp_id=ea67cea8-9845-4236-843e-33b20a6f9e56-2&pdp_ext_f=%7B""order""%3A""6""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%2122.89%2121.35%21%21%21179.12%21167.01%21%40210390c917778278427087013eee59%2112000053069134969%21sea%21GR%216144035917%21X%211%210%21n_tag%3A-29919%3Bd%3Ac2229ac9%3Bm03_new_user%3A-29895&curPageLogUid=qJimVCLho64i&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010643992027%7C_p_origin_prod%3A"
4PCS Anti-Drift TMR Electromagnetic Joystick High Precision 3D Analog Hall ThumbStick Durable for PS5/PS4/Xbox/Switch Pro,$2.30 ,"https://www.aliexpress.com/item/1005009393602262.html?spm=a2g0o.productlist.main.15.29356WWT6WWTok&algo_pvid=bc93188c-a258-4d68-a166-79b9e5dd8446&algo_exp_id=bc93188c-a258-4d68-a166-79b9e5dd8446-14&pdp_ext_f=%7B""order""%3A""6""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%212.05%212.05%21%21%2116.07%2116.05%21%402103834817778275317366479e82f8%2112000048962221499%21sea%21GR%216144035917%21X%211%210%21n_tag%3A-29919%3Bd%3Ac2229ac9%3Bm03_new_user%3A-29895&curPageLogUid=nAF02VxUecyf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009393602262%7C_p_origin_prod%3A"
ESP32-S3 Development Boards with Expansion Adapter Kit 2.4G Wifi BT Module ESP32-S3-1 N8R2 N16R8 44Pin Type-C ESP32-S3,$3.99 ,"https://www.aliexpress.com/item/1005007319706057.html?spm=a2g0o.productlist.main.13.26c474048T7Gej&algo_pvid=3af72925-4421-4fc0-a135-6ca7672c8c10&algo_exp_id=3af72925-4421-4fc0-a135-6ca7672c8c10-12&pdp_ext_f=%7B""order""%3A""19452""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%213.29%212.43%21%21%213.77%212.78%21%40211b65de17778270247768785ef36d%2112000048487692484%21sea%21GR%216144035917%21X%211%210%21n_tag%3A-29919%3Bd%3Ac2229ac9%3Bm03_new_user%3A-29895%3BpisId%3A5000000204360949&curPageLogUid=F7SwfvijE5cC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007319706057%7C_p_origin_prod%3A"
Raspberry Pi 5 - 4GB,"$146,53",https://grobotronics.com/raspberry-pi-5-4gb.html
